epoch,accuracy,loss,val_accuracy,val_loss
0,0.3167344629764557,3.4209182262420654,0.5486902594566345,2.1036603450775146
0,0.31849154829978943,3.4158623218536377,0.5307846069335938,2.1724865436553955
1,0.28289294242858887,3.8296215534210205,0.48174309730529785,2.6445486545562744
2,0.23356468975543976,4.316030025482178,0.4456195831298828,2.966063976287842
3,0.20164848864078522,4.655181884765625,0.41706734895706177,3.122382879257202
4,0.17892096936702728,4.914905548095703,0.3780558109283447,3.4251468181610107
5,0.16242386400699615,5.106882095336914,0.3714290261268616,3.612656831741333
6,0.42780762910842896,2.6783337593078613,0.6526663303375244,1.5642603635787964
7,0.5172945261001587,2.151404857635498,0.6811093091964722,1.4134947061538696
8,0.5612024068832397,1.9152400493621826,0.7010131478309631,1.2965372800827026
9,0.5913875699043274,1.761606216430664,0.715859055519104,1.226764440536499
10,0.6143691539764404,1.6453051567077637,0.7252880334854126,1.186725378036499
11,0.6338080167770386,1.5514047145843506,0.7336866855621338,1.1474099159240723
12,0.6499409079551697,1.4702702760696411,0.7427409291267395,1.0988991260528564
13,0.6651683449745178,1.3992750644683838,0.7490009069442749,1.0557893514633179
14,0.6776569485664368,1.3376002311706543,0.7541134357452393,1.0368634462356567
15,0.6887050271034241,1.283247709274292,0.7608963847160339,1.003679871559143
16,0.6986100077629089,1.2336105108261108,0.7688111066818237,0.9644774198532104
17,0.7073676586151123,1.1886568069458008,0.768975019454956,0.9643778204917908
18,0.7163577079772949,1.1472363471984863,0.7783024907112122,0.9196035265922546
19,0.7235846519470215,1.1116033792495728,0.7763199210166931,0.9235150218009949
20,0.7308089733123779,1.0768738985061646,0.7823612689971924,0.8971254825592041
21,0.7370090484619141,1.0449063777923584,0.7862952351570129,0.8908289074897766
22,0.7420790791511536,1.0186728239059448,0.7895969152450562,0.8683528304100037
23,0.7486182451248169,0.9879246354103088,0.7924068570137024,0.8540487289428711
24,0.7530725002288818,0.9638182520866394,0.7964188456535339,0.8315342664718628
25,0.7580861449241638,0.9407408833503723,0.7994239330291748,0.8242575526237488
