epoch,accuracy,loss,val_accuracy,val_loss
0,0.009242869913578033,6.670636177062988,0.11958006769418716,5.304294109344482
1,0.05274810269474983,5.688448905944824,0.20553798973560333,4.444271087646484
2,0.0972948670387268,5.070830345153809,0.2891933023929596,3.6810455322265625
3,0.13616728782653809,4.654117107391357,0.3251765966415405,3.4404077529907227
4,0.182036891579628,4.244302272796631,0.3770245611667633,3.054497003555298
5,0.24030649662017822,3.7897791862487793,0.4303555488586426,2.7201452255249023
6,0.28876814246177673,3.4496960639953613,0.46522656083106995,2.465672254562378
7,0.325852632522583,3.205753803253174,0.4680365324020386,2.4495339393615723
8,0.35566431283950806,3.014164924621582,0.495394766330719,2.284740924835205
9,0.37959349155426025,2.865647792816162,0.5205869674682617,2.1305038928985596
10,0.4024193286895752,2.7285962104797363,0.5271435976028442,2.0926990509033203
11,0.42548424005508423,2.5955355167388916,0.5350856781005859,2.0474166870117188
12,0.44284388422966003,2.4913604259490967,0.5455254912376404,1.9816081523895264
13,0.4580741226673126,2.4048378467559814,0.5524333715438843,1.9201626777648926
14,0.471574991941452,2.330596685409546,0.5554969906806946,1.9171127080917358
15,0.48347657918930054,2.263697624206543,0.5796549916267395,1.7862359285354614
16,0.4934617877006531,2.2058143615722656,0.5914608240127563,1.7020962238311768
17,0.5030314922332764,2.1534976959228516,0.5886898636817932,1.7154706716537476
18,0.5126613974571228,2.103076219558716,0.5777621865272522,1.7843973636627197
19,0.520728588104248,2.0580668449401855,0.5945049524307251,1.6970484256744385
20,0.5286120176315308,2.013784885406494,0.6033446788787842,1.654684066772461
21,0.5372621417045593,1.9690799713134766,0.6135503053665161,1.6083544492721558
22,0.5453813672065735,1.927243947982788,0.6138820648193359,1.5939546823501587
23,0.5537355542182922,1.882753610610962,0.6290637254714966,1.5229628086090088
24,0.5616165399551392,1.841817021369934,0.6257073879241943,1.5467469692230225
25,0.5703122615814209,1.7978277206420898,0.6326932907104492,1.4882019758224487
